'D-type connector pillar',  8
'D-type 9 way  plug',  4
'JST XH connector 3 way',  4
'JST XH connector 5 way',  1
'LED 3 mm red',  4
'Nut M2 x 1.6mm ',  8
'ftdi quad lin',  1
'Pin socket 11 x 1 right_angle',  1
'SlideSwitch',  4
